app_id,version,prev_version,update_type,update_date,before_avg_score,after_avg_score,score_delta,before_review_count,after_review_count,before_1star_pct,after_1star_pct,before_5star_pct,after_5star_pct
com.coupang.mobile,8.5.8,8.5.7,patch,2025-02-14,2.727,2.978,0.251,22,227,40.9,41.4,27.3,39.6
com.coupang.mobile,6.7.5,8.5.8,major,2025-02-17,2.571,3.04,0.469,42,225,47.6,40.0,26.2,41.3
com.coupang.mobile,8.5.9,6.7.5,major,2025-02-21,2.8,3.097,0.297,70,217,41.4,40.1,32.9,43.8
com.coupang.mobile,4.0.3,8.5.9,major,2025-02-22,2.85,3.09,0.24,80,211,40.0,40.3,32.5,44.1
com.coupang.mobile,6.1.0,4.0.3,major,2025-02-25,2.65,3.262,0.611,123,191,46.3,36.6,28.5,48.7
com.coupang.mobile,8.6.0,6.1.0,major,2025-02-28,2.694,3.227,0.533,147,185,46.3,37.8,31.3,47.6
com.coupang.mobile,8.6.1,8.6.0,patch,2025-03-07,2.876,3.09,0.215,201,166,41.8,41.6,35.3,44.6
com.coupang.mobile,8.6.2,8.6.1,patch,2025-03-14,2.96,2.958,-0.003,226,165,41.2,44.2,38.5,40.0
com.coupang.mobile,8.6.3,8.6.2,patch,2025-03-21,3.052,2.802,-0.249,213,172,40.8,45.9,41.8,33.1
com.coupang.mobile,8.6.4,8.6.3,patch,2025-03-28,3.29,2.801,-0.488,183,171,36.1,45.0,49.2,32.2
com.coupang.mobile,8.6.5,8.6.4,patch,2025-04-05,3.098,2.768,-0.33,164,194,40.2,46.4,43.9,31.4
com.coupang.mobile,6.5.8,8.6.5,major,2025-04-07,3.08,2.701,-0.379,163,197,41.7,48.2,44.2,29.9
com.coupang.mobile,8.6.6,6.5.8,major,2025-04-11,3.019,2.714,-0.305,159,196,42.8,46.9,42.1,30.1
com.coupang.mobile,8.6.7,8.6.6,patch,2025-04-18,2.872,2.683,-0.189,164,199,45.7,45.7,36.0,30.2
com.coupang.mobile,8.6.8,8.6.7,patch,2025-04-26,2.78,2.608,-0.172,168,204,46.4,46.6,32.7,26.5
com.coupang.mobile,7.1.9,8.6.8,major,2025-04-29,2.879,2.564,-0.315,165,211,43.0,48.3,33.9,26.5
com.coupang.mobile,8.6.9,7.1.9,major,2025-05-02,2.69,2.626,-0.065,184,195,48.4,45.6,29.3,27.7
com.coupang.mobile,8.7.0,8.6.9,minor,2025-05-09,2.733,2.574,-0.158,187,209,47.1,46.4,30.5,26.8
com.coupang.mobile,8.7.1,8.7.0,patch,2025-05-15,2.661,2.582,-0.08,192,220,46.9,48.6,29.2,28.2
com.coupang.mobile,8.7.2,8.7.1,patch,2025-05-24,2.63,2.44,-0.19,192,209,46.4,52.2,28.1,23.4
com.coupang.mobile,5.6.9,8.7.2,major,2025-05-25,2.582,2.483,-0.098,196,211,47.4,51.2,26.5,25.1
com.coupang.mobile,8.7.3,5.6.9,major,2025-05-30,2.592,2.419,-0.174,184,227,46.7,51.5,26.6,22.9
com.coupang.mobile,6.4.4,8.7.3,major,2025-06-01,2.618,2.363,-0.255,186,234,45.2,53.0,26.9,21.4
com.coupang.mobile,8.7.4,6.4.4,major,2025-06-06,2.518,2.304,-0.214,199,247,49.2,54.3,26.1,19.8
com.coupang.mobile,6.7.2,8.7.4,major,2025-06-16,2.555,2.243,-0.312,211,284,48.8,55.6,26.5,18.0
com.coupang.mobile,8.7.5,6.7.2,major,2025-06-17,2.529,2.233,-0.295,210,287,50.0,55.7,26.2,17.8
com.coupang.mobile,8.7.6,8.7.5,patch,2025-06-20,2.468,2.253,-0.214,201,296,52.7,55.7,24.9,18.9
com.coupang.mobile,8.7.7,8.7.6,patch,2025-06-27,2.46,2.31,-0.15,211,297,51.2,55.9,24.6,21.2
com.coupang.mobile,8.7.8,8.7.7,patch,2025-07-04,2.331,2.374,0.043,242,270,53.3,55.2,20.2,23.3
com.coupang.mobile,8.7.9,8.7.8,patch,2025-07-11,2.257,2.436,0.179,249,273,55.4,53.5,18.1,23.4
com.coupang.mobile,8.8.0,8.7.9,minor,2025-07-18,2.242,2.436,0.194,281,250,55.5,52.4,18.1,22.8
com.coupang.mobile,8.8.1,8.8.0,patch,2025-07-25,2.334,2.38,0.045,299,266,54.8,53.0,21.4,20.7
com.coupang.mobile,8.8.2,8.8.1,patch,2025-08-01,2.385,2.465,0.08,275,288,54.9,51.4,23.6,23.6
com.coupang.mobile,8.8.3,8.8.2,patch,2025-08-08,2.448,2.527,0.079,270,258,52.6,49.6,23.7,25.2
com.coupang.mobile,8.8.4,8.8.3,patch,2025-08-16,2.441,2.669,0.228,245,269,52.7,47.6,23.3,30.5
com.coupang.mobile,8.8.5,8.8.4,patch,2025-08-22,2.349,2.773,0.424,272,247,53.7,44.5,19.9,33.2
com.coupang.mobile,8.8.6,8.8.5,patch,2025-08-29,2.465,2.641,0.176,275,223,51.3,46.2,23.3,28.7
com.coupang.mobile,8.8.7,8.8.6,patch,2025-09-05,2.589,2.536,-0.053,270,239,48.1,49.0,25.9,25.9
com.coupang.mobile,8.8.8,8.8.7,patch,2025-09-20,2.77,2.472,-0.298,248,267,44.8,49.4,32.7,24.3
com.coupang.mobile,8.8.9,8.8.8,patch,2025-09-23,2.748,2.459,-0.289,234,266,44.9,49.6,32.9,23.7
com.coupang.mobile,8.9.0,8.8.9,minor,2025-09-26,2.674,2.453,-0.221,215,278,45.6,50.4,29.8,24.5
com.coupang.mobile,8.9.1,8.9.0,patch,2025-10-03,2.573,2.502,-0.071,220,279,47.3,47.7,26.8,25.4
com.coupang.mobile,8.9.2,8.9.1,patch,2025-10-10,2.603,2.48,-0.124,242,271,47.5,45.8,28.1,22.9
com.coupang.mobile,8.9.3,8.9.2,patch,2025-10-18,2.464,2.397,-0.067,250,353,49.6,48.2,24.0,21.2
com.coupang.mobile,8.9.4,8.9.3,patch,2025-10-25,2.435,2.462,0.027,260,379,50.8,47.5,23.5,23.0
com.coupang.mobile,8.9.5,8.9.4,patch,2025-11-01,2.445,2.006,-0.438,272,629,50.0,64.4,25.0,16.4
com.coupang.mobile,8.9.6,8.9.5,patch,2025-11-08,2.487,1.706,-0.781,271,1151,46.1,76.0,23.6,12.5
com.coupang.mobile,8.9.7,8.9.6,patch,2025-11-14,2.388,1.679,-0.709,268,1269,48.5,77.3,20.1,12.2
com.coupang.mobile,4.3.9,8.9.7,major,2025-11-17,2.36,1.627,-0.733,342,1252,48.8,80.0,20.2,11.7
com.coupang.mobile,8.9.8,4.3.9,major,2025-11-21,2.419,1.522,-0.897,351,1434,47.9,83.3,21.7,9.8
com.coupang.mobile,8.9.9,8.9.8,patch,2025-11-28,2.48,1.466,-1.014,356,1612,46.1,85.1,22.8,8.7
com.coupang.mobile,5.1.0,8.9.9,major,2025-12-01,2.175,1.458,-0.717,502,1571,58.2,85.6,18.9,8.8
com.coupang.mobile,5.0.8,5.1.0,minor,2025-12-01,2.175,1.458,-0.717,502,1571,58.2,85.6,18.9,8.8
com.coupang.mobile,4.3.2,5.0.8,major,2025-12-01,2.175,1.458,-0.717,502,1571,58.2,85.6,18.9,8.8
com.coupang.mobile,5.5.6,4.3.2,major,2025-12-01,2.175,1.458,-0.717,502,1571,58.2,85.6,18.9,8.8
com.coupang.mobile,6.9.4,5.5.6,major,2025-12-01,2.175,1.458,-0.717,502,1571,58.2,85.6,18.9,8.8
com.coupang.mobile,5.7.3,6.9.4,major,2025-12-01,2.175,1.458,-0.717,502,1571,58.2,85.6,18.9,8.8
com.coupang.mobile,5.6.3,5.7.3,minor,2025-12-02,1.994,1.483,-0.511,620,1477,65.0,85.0,16.3,9.3
com.coupang.mobile,6.5.9,5.6.3,major,2025-12-03,1.868,1.498,-0.37,759,1376,69.6,84.6,14.4,9.7
com.coupang.mobile,9.0.0,6.5.9,major,2025-12-05,1.79,1.521,-0.269,940,1209,72.6,84.2,13.4,10.3
com.coupang.mobile,6.7.8,9.0.0,major,2025-12-07,1.73,1.567,-0.163,1049,1109,74.9,82.8,12.7,11.2
com.coupang.mobile,7.3.7,6.7.8,major,2025-12-08,1.715,1.58,-0.135,1106,1056,75.7,82.4,12.7,11.5
com.coupang.mobile,9.0.1,7.3.7,major,2025-12-12,1.686,1.601,-0.084,1213,971,76.9,81.9,12.3,11.9
com.coupang.mobile,6.5.3,9.0.1,major,2025-12-12,1.686,1.601,-0.084,1213,971,76.9,81.9,12.3,11.9
com.coupang.mobile,5.0.1,6.5.3,major,2025-12-16,1.646,1.619,-0.027,1204,931,79.2,81.5,12.1,12.7
com.coupang.mobile,6.4.6,5.0.1,major,2025-12-18,1.61,1.636,0.026,1241,938,80.4,81.1,11.4,13.2
com.coupang.mobile,5.4.8,6.4.6,major,2025-12-18,1.61,1.636,0.026,1241,938,80.4,81.1,11.4,13.2
com.coupang.mobile,6.1.1,5.4.8,major,2025-12-19,1.587,1.674,0.087,1291,902,81.3,80.0,11.1,14.0
com.coupang.mobile,9.0.2,6.1.1,major,2025-12-19,1.587,1.674,0.087,1291,902,81.3,80.0,11.1,14.0
com.coupang.mobile,7.0.5,9.0.2,major,2025-12-19,1.587,1.674,0.087,1291,902,81.3,80.0,11.1,14.0
com.coupang.mobile,5.4.7,7.0.5,major,2025-12-20,1.549,1.739,0.19,1367,832,82.4,78.2,10.4,15.4
com.coupang.mobile,6.7.7,5.4.7,major,2025-12-24,1.498,1.841,0.343,1451,749,84.1,75.2,9.4,17.6
com.coupang.mobile,9.0.3,6.7.7,major,2025-12-26,1.48,1.884,0.404,1517,706,84.6,74.2,9.0,18.8
com.coupang.mobile,7.4.2,9.0.3,major,2025-12-27,1.462,1.929,0.467,1546,677,85.1,72.8,8.6,19.8
com.coupang.mobile,5.9.5,7.4.2,major,2025-12-29,1.456,1.957,0.501,1604,624,85.4,71.6,8.5,20.4
com.coupang.mobile,7.4.7,5.9.5,major,2025-12-31,1.447,2.043,0.596,1529,556,85.9,69.2,8.4,22.3
com.coupang.mobile,9.0.4,7.4.7,major,2026-01-02,1.495,2.046,0.551,1333,500,84.7,68.6,9.7,21.8
com.coupang.mobile,9.0.5,9.0.4,patch,2026-01-09,1.589,1.991,0.402,991,458,82.1,70.1,11.6,20.5
com.coupang.mobile,9.0.6,9.0.5,patch,2026-01-16,1.623,1.941,0.318,906,423,81.3,70.7,12.7,18.9
com.coupang.mobile,9.0.7,9.0.6,patch,2026-01-24,1.856,1.988,0.132,721,320,74.9,67.8,18.0,18.4
com.coupang.mobile,9.0.8,9.0.7,patch,2026-01-30,2.05,2.061,0.011,541,328,68.9,66.5,22.4,19.2
com.coupang.mobile,9.0.9,9.0.8,patch,2026-02-06,2.013,2.038,0.025,449,316,69.7,67.1,21.4,18.7
com.coupang.mobile,9.1.0,9.0.9,minor,2026-02-13,1.924,2.082,0.158,437,243,71.2,67.1,18.5,20.2
com.coupang.mobile,6.9.6,9.1.0,major,2026-02-22,1.96,2.054,0.095,321,185,68.8,67.6,18.1,19.5
com.coupang.mobile,9.1.1,6.9.6,major,2026-02-27,2.036,1.892,-0.144,304,130,67.1,73.1,19.1,16.9
com.coupang.mobile,4.6.6,9.1.1,major,2026-03-04,2.077,1.8,-0.277,310,70,65.8,77.1,19.4,17.1
com.coupang.mobile,9.1.2,4.6.6,major,2026-03-06,2.032,1.909,-0.123,310,44,67.4,72.7,18.7,18.2
com.coupang.mobile.eats,1.4.1,1.5.48,minor,2025-10-18,3.778,4.624,0.846,18,1276,27.8,6.4,66.7,85.1
com.coupang.mobile.eats,1.5.49,1.4.1,minor,2025-10-19,4.526,4.624,0.097,76,1254,9.2,6.5,84.2,85.2
com.coupang.mobile.eats,1.5.21,1.5.49,patch,2025-10-20,4.56,4.621,0.061,125,1241,8.8,6.5,85.6,85.1
com.coupang.mobile.eats,1.5.51,1.5.21,patch,2025-10-24,4.444,4.637,0.193,259,1284,10.8,6.3,80.3,85.8
com.coupang.mobile.eats,1.5.10,1.5.51,patch,2025-10-24,4.444,4.637,0.193,259,1284,10.8,6.3,80.3,85.8
com.coupang.mobile.eats,1.5.17,1.5.10,patch,2025-10-29,4.552,4.621,0.069,475,1223,8.2,6.6,83.2,85.2
com.coupang.mobile.eats,1.5.52,1.5.17,patch,2025-11-03,4.601,4.578,-0.023,735,1157,6.9,7.9,84.5,84.6
com.coupang.mobile.eats,1.5.53,1.5.52,patch,2025-11-07,4.607,4.499,-0.108,870,1151,6.7,10.0,84.4,83.1
com.coupang.mobile.eats,1.4.69,1.5.53,minor,2025-11-07,4.607,4.499,-0.108,870,1151,6.7,10.0,84.4,83.1
com.coupang.mobile.eats,1.5.54,1.4.69,minor,2025-11-11,4.617,4.435,-0.182,1034,1076,6.3,11.6,84.5,81.5
com.coupang.mobile.eats,1.4.23,1.5.54,minor,2025-11-12,4.613,4.422,-0.191,1063,1064,6.4,11.8,84.6,81.0
com.coupang.mobile.eats,1.3.63,1.4.23,minor,2025-11-12,4.613,4.422,-0.191,1063,1064,6.4,11.8,84.6,81.0
com.coupang.mobile.eats,1.3.17,1.3.63,patch,2025-11-13,4.605,4.43,-0.175,1099,1057,6.6,11.5,84.4,81.1
com.coupang.mobile.eats,1.5.55,1.3.17,minor,2025-11-14,4.598,4.422,-0.176,1122,1078,6.9,11.8,84.3,81.0
com.coupang.mobile.eats,1.3.90,1.5.55,minor,2025-11-21,4.645,4.29,-0.355,1203,986,6.2,14.5,86.0,77.1
com.coupang.mobile.eats,1.5.56,1.3.90,minor,2025-11-22,4.638,4.279,-0.359,1212,971,6.4,14.7,85.9,76.7
com.coupang.mobile.eats,1.5.19,1.5.56,patch,2025-11-23,4.637,4.238,-0.399,1229,953,6.3,15.7,85.9,75.8
com.coupang.mobile.eats,1.5.57,1.5.19,patch,2025-11-27,4.62,4.13,-0.49,1197,975,6.8,18.5,85.5,73.2
com.coupang.mobile.eats,1.4.78,1.5.57,minor,2025-11-29,4.62,4.09,-0.53,1176,987,6.6,19.7,85.1,72.6
com.coupang.mobile.eats,1.5.58,1.4.78,minor,2025-12-04,4.577,4.006,-0.571,1130,959,8.0,21.5,84.7,69.9
com.coupang.mobile.eats,1.5.59,1.5.58,patch,2025-12-05,4.558,4.034,-0.525,1114,980,8.5,20.7,84.5,70.3
com.coupang.mobile.eats,1.3.92,1.5.59,minor,2025-12-10,4.445,4.06,-0.385,1067,915,11.4,20.2,81.8,70.8
com.coupang.mobile.eats,1.5.60,1.3.92,minor,2025-12-11,4.432,4.08,-0.353,1057,917,11.6,19.8,81.4,71.4
com.coupang.mobile.eats,1.4.91,1.5.60,minor,2025-12-14,4.434,4.094,-0.341,1034,940,11.4,19.6,81.1,71.8
com.coupang.mobile.eats,1.3.49,1.4.91,minor,2025-12-18,4.364,4.091,-0.274,985,917,12.8,20.0,79.2,72.2
